bus_hypothesis_id,region_id,inference_mode,used_ground_truth_for_generation,used_ground_truth_for_evaluation,direction,role,member_nodes,ordered_member_nodes,width,bit_order,signedness_hypothesis,grouping_score,ordering_score,role_score,evidence_sources,feature_values,ambiguity_count,ground_truth_bus_name_if_known,ground_truth_match,rank,schema_version
arithmetic_constant_multiply_w6__identity__ground_truth_region__inf__output__y,arithmetic_constant_multiply_w6__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]",8,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w6__identity__whole_output_cone__inf__input__a,arithmetic_constant_multiply_w6__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]",6,lsb_to_msb,unknown,0.940000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w6__identity__whole_output_cone__inf__output__y,arithmetic_constant_multiply_w6__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]",8,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w8__identity__ground_truth_region__inf__input__a,arithmetic_constant_multiply_w8__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]",8,lsb_to_msb,unknown,0.950000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.833333}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w8__identity__ground_truth_region__inf__output__y,arithmetic_constant_multiply_w8__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9""]",10,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w8__identity__whole_output_cone__inf__input__a,arithmetic_constant_multiply_w8__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]",8,lsb_to_msb,unknown,0.950000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.833333}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_constant_multiply_w8__identity__whole_output_cone__inf__output__y,arithmetic_constant_multiply_w8__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9""]",10,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__balance__whole_output_cone__inf__input__b,arithmetic_full_multiply_w2__balance__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""b_0"",""b_1""]","[""b_0"",""b_1""]",2,lsb_to_msb,unknown,0.858824,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""b"",""name_prefix_score"":1.0,""structural_similarity_score"":0.529412}",0,b,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__balance__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__balance__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.787082,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.290274}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__compress2rs__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__compress2rs__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.820000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.4}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__compress2rs__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__compress2rs__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.819484,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.39828}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__dc2__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__dc2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__dc2__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__dc2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.819484,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.39828}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__identity__ground_truth_region__inf__input__a,arithmetic_full_multiply_w2__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__identity__ground_truth_region__inf__output__y,arithmetic_full_multiply_w2__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.900000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__identity__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__identity__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.900000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__refactor__whole_output_cone__inf__input__b,arithmetic_full_multiply_w2__refactor__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""b_0"",""b_1""]","[""b_0"",""b_1""]",2,lsb_to_msb,unknown,0.871429,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""b"",""name_prefix_score"":1.0,""structural_similarity_score"":0.571429}",0,b,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__refactor__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__refactor__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.790833,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.302778}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resub__whole_output_cone__inf__input__b,arithmetic_full_multiply_w2__resub__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""b_0"",""b_1""]","[""b_0"",""b_1""]",2,lsb_to_msb,unknown,0.876471,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""b"",""name_prefix_score"":1.0,""structural_similarity_score"":0.588235}",0,b,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resub__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__resub__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.800831,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.336103}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resyn__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__resyn__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.836364,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.454545}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resyn__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__resyn__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.810595,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.368651}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resyn2__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__resyn2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.820000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.4}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__resyn2__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__resyn2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.819484,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.39828}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__rewrite__whole_output_cone__inf__input__a,arithmetic_full_multiply_w2__rewrite__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.836364,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.454545}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w2__rewrite__whole_output_cone__inf__output__y,arithmetic_full_multiply_w2__rewrite__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.810595,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.368651}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w3__identity__ground_truth_region__inf__input__a,arithmetic_full_multiply_w3__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.925000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w3__identity__ground_truth_region__inf__output__y,arithmetic_full_multiply_w3__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w3__identity__whole_output_cone__inf__input__a,arithmetic_full_multiply_w3__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.925000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w3__identity__whole_output_cone__inf__output__y,arithmetic_full_multiply_w3__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w4__identity__ground_truth_region__inf__input__a,arithmetic_full_multiply_w4__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.940000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w4__identity__ground_truth_region__inf__output__y,arithmetic_full_multiply_w4__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]",8,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w4__identity__whole_output_cone__inf__input__a,arithmetic_full_multiply_w4__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.940000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_full_multiply_w4__identity__whole_output_cone__inf__output__y,arithmetic_full_multiply_w4__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7""]",8,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w3__identity__ground_truth_region__inf__input__a,arithmetic_mixed_width_add_w3__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w3__identity__ground_truth_region__inf__output__y,arithmetic_mixed_width_add_w3__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w3__identity__whole_output_cone__inf__input__a,arithmetic_mixed_width_add_w3__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w3__identity__whole_output_cone__inf__output__y,arithmetic_mixed_width_add_w3__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w4__identity__ground_truth_region__inf__input__a,arithmetic_mixed_width_add_w4__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w4__identity__ground_truth_region__inf__output__y,arithmetic_mixed_width_add_w4__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.933333,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.777778}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w4__identity__whole_output_cone__inf__input__a,arithmetic_mixed_width_add_w4__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_mixed_width_add_w4__identity__whole_output_cone__inf__output__y,arithmetic_mixed_width_add_w4__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.933333,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.777778}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_multiply_accumulate_w2__identity__ground_truth_region__inf__input__c,arithmetic_multiply_accumulate_w2__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""c_0"",""c_1"",""c_2"",""c_3""]","[""c_0"",""c_1"",""c_2"",""c_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""c"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,c,exact,1,semantic_bus_hypothesis_v1
arithmetic_multiply_accumulate_w2__identity__ground_truth_region__inf__output__y,arithmetic_multiply_accumulate_w2__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_multiply_accumulate_w2__identity__whole_output_cone__inf__input__c,arithmetic_multiply_accumulate_w2__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""c_0"",""c_1"",""c_2"",""c_3""]","[""c_0"",""c_1"",""c_2"",""c_3""]",4,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""c"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,c,exact,1,semantic_bus_hypothesis_v1
arithmetic_multiply_accumulate_w2__identity__whole_output_cone__inf__output__y,arithmetic_multiply_accumulate_w2__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.940000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_reversed_sub_w2__balance__whole_output_cone__inf__input__b,arithmetic_reversed_sub_w2__balance__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""b_0"",""b_1""]","[""b_0"",""b_1""]",2,lsb_to_msb,unknown,0.892000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""b"",""name_prefix_score"":1.0,""structural_similarity_score"":0.64}",0,b,exact,1,semantic_bus_hypothesis_v1
arithmetic_reversed_sub_w2__balance__whole_output_cone__inf__output__y,arithmetic_reversed_sub_w2__balance__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2""]","[""y_0"",""y_1"",""y_2""]",3,lsb_to_msb,unknown,0.746424,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.154747}",0,y,exact,1,semantic_bus_hypothesis_v1
